id;codigo_subunidad;nombre_subunidad;tipo_subunidad;nombre_jefe;descripcion
1;38552;Samoa instalación;Gris;Artesanal Iraqi;efficient Exclusivo content
2;14100;Asociado withdrawal;capacidad Granito;Ergonómico Uzbekistan Loan;partnerships Artesanal Práctico
3;19704;Exclusivo input;Buckinghamshire Torrente Consultor;Urbanización Savings;Borders program
4;81245;Metal;indexing Muelle;Gris;connecting PCI Aplicaciones
5;99982;Extramuros;deposit experiences;mesh alarm;Gibraltar bandwidth
6;11124;program;aggregate Vatu program;Jefe Librería virtual;Rústico invoice
7;88856;Raton Mercado;Azul AGP;Cambridgeshire Tailandia Algodón;SAS Canada
8;35595;Plaza Normas;mobile portals;División fritas bypass;Kroon Coordinador cultivate
9;71608;Música Pound;Zapatos;Especialista;SAS
10;78430;Administrador Bebes Salud;feed codificar dot-com;maximize;microchip hacking
